ORDER-ID,CUSTUMER-ID,PRODUCT,CATEGORY,QUANTITY,PRICE,DISCOUNT,BILL,TIME
OR20260109115830,C3482828,TEA,GROCERY,2,40,5,76.0,2026-01-09 11:58:30
OR20260109115833,C3482828,COFFEE,GROCERY,2,60,5,114.0,2026-01-09 11:58:33
OR20260109115837,C3482828,BREAD,BAKERY,4,35,0,140.0,2026-01-09 11:58:37
OR20260109115839,C3482828,BUNS,BAKERY,2,32,0,64.0,2026-01-09 11:58:39
OR20260109115841,C3482828,MILK,DAIRY,5,55,2,269.5,2026-01-09 11:58:41
OR20260109115847,C3482828,MINERAL WATER,BEVERAGES,5,20,0,100.0,2026-01-09 11:58:47
OR20260109115941,C3098888,RICE,GROCERY,10,60,3,582.0,2026-01-09 11:59:41
OR20260109115945,C3098888,WHEAT FLOUR,GROCERY,5,55,3,266.75,2026-01-09 11:59:45
OR20260109115951,C3098888,INSTANT NOODLES,SNACKS,4,20,5,76.0,2026-01-09 11:59:51
OR20260109120018,C3309053,NAMKEEN,SNACKS,10,60,4,576.0,2026-01-09 12:00:18
OR20260109120022,C3309053,CHIPS,SNACKS,10,25,5,237.5,2026-01-09 12:00:22
OR20260109120026,C3309053,CHOCOLATE,SNACKS,10,50,6,470.0,2026-01-09 12:00:26
OR20260109120038,C3309053,SOFT DRINK,BEVERAGES,4,40,5,152.0,2026-01-09 12:00:38
OR20260109120155,C4657327,ENERGY DRINK,BEVERAGES,4,95,6,357.2,2026-01-09 12:01:55
OR20260109120236,C4657327,CURD,DAIRY,5,38,2,186.2,2026-01-09 12:02:36
OR20260109120240,C4657327,PANEER,DAIRY,2,110,3,213.4,2026-01-09 12:02:40
OR20260109120245,C4657327,BUTTER,DAIRY,2,115,4,220.8,2026-01-09 12:02:45
OR20260109120256,C4657327,CAKE,BAKERY,5,220,5,1045.0,2026-01-09 12:02:56
OR20260109120325,C8609978,COOKIES,BAKERY,5,80,4,384.0,2026-01-09 12:03:25
OR20260109120328,C8609978,NAMKEEN,SNACKS,10,60,4,576.0,2026-01-09 12:03:28
OR20260109120335,C8609978,MINERAL WATER,BEVERAGES,2,20,0,40.0,2026-01-09 12:03:35
OR20260109120341,C8609978,COOKING OIL,GROCERY,2,135,4,259.2,2026-01-09 12:03:41
